"subnetwork_id","subnetwork_name","area","regional","oss","tech"
"3208","RTPO SORONG","SORONG","PUMA","UME9(10.40.50.10)","4G"
"3209","RTPO MERAUKE","TIMIKA","PUMA","UME9(10.40.50.10)","4G"
"321","BSCZ_PLK2","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","2G"
"3210","RTPO TIMIKA","TIMIKA","PUMA","UME9(10.40.50.10)","4G"
"322","BSCZ_PLK1","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","2G"
"323","BSCZ_BLC2","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","2G"
"754","RNCZ_STG1","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","3G"
"755","RNCZ_KTP1","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","3G"
"756","RNCZ_PTK1","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","3G"
"757","RNCZ_PTK2","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","3G"
"758","RNCZ_SGU1","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","3G"
"759","RNCZ_SKW1","PONTIANAK","KALIMANTAN","UME8(10.40.48.9)","3G"
"760","RNCZ_BJB1","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","3G"
"761","RNCZ_BJB2","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","3G"
"762","RNCZ_BJM1","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","3G"
"763","RNCZ_BLC1","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","3G"
"764","RNCZ_BRB1","BANJARMASIN","KALIMANTAN","UME8(10.40.48.9)","3G"
"765","RNCZ_BTK1","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","3G"
"766","RNCZ_PBU1","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","3G"
"767","RNCZ_SPT1","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","3G"
"768","RNCZ_SPT2","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","3G"
"769","RNCZ_PLK2","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","3G"
"781","RNCZ_PLK1","PALANGKARAYA","KALIMANTAN","UME8(10.40.48.9)","3G"
"901","RNCZ_MARISA2","MANADO","SULAWESI","EMS5(10.174.44.173)","3G"
"902","RNCZ_BITUNG2","GORONTALO","SULAWESI","EMS5(10.174.44.173)","3G"
